,关键词,展现指数,竞争指数,市场平均出价,点击率,点击转化率,匹配方案
,泰褔高保温饭盒,36,4,1.69,17.94%,0.00%,精确匹配
,保温桶,65857,649,1.42,5.28%,2.86%,精确匹配
,焖烧壶,34475,308,1.24,5.74%,3.01%,精确匹配
,保温饭盒 饭盒,15815,337,0.95,10.41%,2.74%,精确匹配
,多层保温饭盒,11076,471,1.59,7.77%,3.55%,精确匹配
,焖烧罐,15035,242,0.99,5.65%,1.06%,精确匹配
,保温桶饭盒 便携,8744,197,1.31,9.29%,2.96%,精确匹配
,保温饭桶,5696,247,1.67,5.54%,1.85%,精确匹配
,保温盒,8478,274,0.89,6.44%,2.89%,精确匹配
,保温饭盒 日本,4116,207,1.36,6.16%,0.66%,精确匹配
,保温饭盒 1人,3095,191,0.71,10.91%,5.52%,精确匹配
,焖烧罐 超长保温,4778,48,1.16,8.41%,2.30%,精确匹配
,闷烧壶,8027,149,1.44,5.94%,2.26%,精确匹配
,多层饭盒,4169,305,0.89,8.43%,3.83%,精确匹配
,焖烧壶保温饭盒,5754,220,1.55,6.27%,3.24%,精确匹配
,多层饭盒保温饭盒,1970,179,1.16,8.12%,4.27%,精确匹配
,保温桶饭桶,6075,211,1.12,5.86%,1.64%,精确匹配
,保温多层饭盒 超长保温,4291,166,1.51,4.79%,2.45%,精确匹配
,闷烧罐,3463,96,0.89,8.13%,3.60%,精确匹配
,多层保温桶,3528,57,2.72,7.43%,3.54%,精确匹配
,保温桶 保温饭盒,6659,289,0.74,0.74%,1.69%,精确匹配
,保温盒饭盒 超长保温 便携,5946,179,1.5,3.53%,2.78%,精确匹配
,保温罐,1008,40,0.56,11.01%,0.00%,精确匹配
,便携饭盒,896,182,0.76,5.52%,3.50%,精确匹配
,保温饭盒 1人 便携,226,28,0.91,5.92%,0.00%,精确匹配
,多层保温桶饭盒,1188,129,1.1,5.82%,6.25%,精确匹配
,保温饭盒桶,10259,507,1.24,3.47%,2.55%,精确匹配
,保温盒 饭盒,3063,235,0.92,6.84%,1.61%,精确匹配
,焖烧保温桶,266,29,0.92,5.68%,0.00%,精确匹配
,泰福高焖烧壶,351,29,1.33,3.52%,14.28%,精确匹配
,超保温饭盒,3064,64,1.46,10.82%,3.32%,精确匹配
,饭盒 饭盒 日本,2446,58,0.83,10.63%,0.98%,精确匹配
,多层保温盒,667,45,0.55,11.79%,0.00%,精确匹配
,日本饭盒,1977,267,0.59,5.24%,1.65%,精确匹配
,盖饭盒,257,63,0.23,5.19%,0.00%,精确匹配
,保温盒饭盒 饭盒,957,131,0.95,5.62%,3.22%,精确匹配
,保温饭壶,45,11,1.08,8.16%,0.00%,精确匹配
,饭桶,3604,128,0.97,4.15%,2.25%,精确匹配
,焖烧壶多层,156,25,1.15,1.14%,0.00%,精确匹配
,保温 饭盒 便携,2921,129,0.91,7.24%,2.81%,精确匹配
